,chr,pos,region_x,gene_x,Not_annot,prom_gene,prom_region,promoter,pseudogene,snRNA,tRNA,lnc_RNA,snoRNA,rRNA,miRNA,exon,3'UTR,5'UTR,alternative UTR,intron,num_gene_hit,accunted_for,check
0,NC_001453.1,3737,['intron'],['LOC2652717'],0,"['LOC2652718', 'LOC2652719', 'LOC2652720', 'LOC2652721', 'LOC2652722']","['protein_coding', 'protein_coding', 'protein_coding', 'protein_coding', 'protein_coding']",5.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1,NC_001453.1,6501,['intron'],['LOC2652718'],0,"['LOC2652719', 'LOC2652720', 'LOC2652721', 'LOC2652722', 'LOC2652715', 'LOC2652723', 'LOC2652724']","['protein_coding', 'protein_coding', 'protein_coding', 'protein_coding', 'protein_coding', 'protein_coding', 'protein_coding']",7.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
2,NC_001453.1,6669,['intron'],['LOC2652718'],0,"['LOC2652719', 'LOC2652720', 'LOC2652721', 'LOC2652722', 'LOC2652715', 'LOC2652723', 'LOC2652724']","['protein_coding', 'protein_coding', 'protein_coding', 'protein_coding', 'protein_coding', 'protein_coding', 'protein_coding']",7.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
3,NC_001453.1,9492,['intron'],['LOC2652715'],0,"['LOC2652723', 'LOC2652724', 'LOC2652725']","['protein_coding', 'protein_coding', 'protein_coding']",3.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
4,NC_001453.1,13306,['intron'],['LOC2652725'],0,['LOC2652727'],['protein_coding'],1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
5,NC_001453.1,14134,['intron'],['LOC2652726'],0,['LOC2652727'],['protein_coding'],1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
6,NW_022145205.1,58604,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,NW_022145459.1,2561,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,NW_022145461.1,8430,['not_annot'],[nan],0,['LOC590073'],['protein_coding'],1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
9,NW_022145464.1,10028,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,NW_022145464.1,32906,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,NW_022145465.1,3270,['exon'],['LOC577919'],0,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
12,NW_022145465.1,5133,"[""3'UTR""]",['LOC577919'],0,,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
13,NW_022145506.1,14496,['intron'],['LOC574978'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
14,NW_022145506.1,15425,['intron'],['LOC574978'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
15,NW_022145509.1,17395,['intron'],['LOC582914'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
16,NW_022145509.1,25410,['intron'],['LOC582914'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
17,NW_022145519.1,465720,['exon'],['LOC578813'],0,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
18,NW_022145519.1,472165,['intron'],['LOC578813'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
19,NW_022145520.1,2408894,['not_annot'],[nan],0,['LOC115921719'],['protein_coding'],1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
20,NW_022145526.1,296916,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,NW_022145530.1,614214,"[""3'UTR""]",['LOC577465'],0,,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
22,NW_022145531.1,207623,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,NW_022145532.1,1221731,"[""3'UTR""]",['LOC591306'],0,['LOC100891765'],['protein_coding'],1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
24,NW_022145534.1,75608,['intron'],['LOC100891533'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
25,NW_022145534.1,615663,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,NW_022145534.1,754988,['exon'],['LOC575474'],0,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
27,NW_022145534.1,1090070,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,NW_022145534.1,1090097,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,NW_022145536.1,53932,['exon'],['LOC100893880'],0,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
30,NW_022145537.1,58910,['exon'],['LOC582972'],0,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
31,NW_022145537.1,60156,['intron'],['LOC582972'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
32,NW_022145539.1,1052345,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,NW_022145540.1,536602,['not_annot'],[nan],0,['LOC105439407'],['protein_coding'],1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
34,NW_022145543.1,1215700,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,NW_022145543.1,1215738,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,NW_022145547.1,1112319,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,NW_022145547.1,1671981,['intron'],['LOC115925099'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
38,NW_022145548.1,691644,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,NW_022145548.1,714149,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,NW_022145549.1,939265,['intron'],['LOC100891124'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
41,NW_022145551.1,965953,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,NW_022145552.1,2272490,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,NW_022145553.1,833490,['intron'],['LOC578479'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
44,NW_022145553.1,840897,['intron'],['LOC578479'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
45,NW_022145553.1,955125,['not_annot'],[nan],0,['LOC587593'],['protein_coding'],1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
46,NW_022145559.1,594228,['exon'],['LOC105437841'],0,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
47,NW_022145561.1,247709,['exon'],['LOC100888207'],0,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
48,NW_022145561.1,249230,['exon'],['LOC100888207'],0,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
49,NW_022145562.1,18266,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NW_022145562.1,27274,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,NW_022145564.1,695636,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,NW_022145567.1,64171,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,NW_022145567.1,64528,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,NW_022145567.1,309731,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,NW_022145570.1,466300,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,NW_022145570.1,466317,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,NW_022145570.1,2749959,['not_annot'],[nan],0,['115929951'],['lnc_RNA'],1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
58,NW_022145572.1,517157,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,NW_022145572.1,517417,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,NW_022145573.1,188687,['intron'],['LOC115919356'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
61,NW_022145574.1,888906,['intron'],['LOC590790'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
62,NW_022145575.1,428720,['not_annot'],[nan],0,['LOC115919817'],['protein_coding'],1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
63,NW_022145576.1,581564,['intron'],['LOC115920144'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
64,NW_022145594.1,7599,['not_annot'],[nan],1,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,NW_022145594.1,1780225,['intron'],['LOC589823'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
66,NW_022145594.1,1952618,['intron'],['LOC100887982'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
67,NW_022145594.1,1952648,['intron'],['LOC100887982'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
68,NW_022145594.1,1952990,['intron'],['LOC100887982'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
69,NW_022145594.1,2064185,['intron'],['LOC755356'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
70,NW_022145594.1,2123172,['alternative UTR'],['LOC115920849'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
71,NW_022145594.1,2506358,['alternative UTR'],['LOC755739'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
72,NW_022145594.1,2596427,['intron'],['LOC100888800'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
73,NW_022145594.1,2596431,['intron'],['LOC100888800'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
74,NW_022145594.1,2646648,['intron'],['LOC575858'],0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
